id;total_area;area_unit;exploitation_mode;ownership_type;start_date;irrigation_available;organic_production;certification;description
1;28102.25;stupendous vice;FAMILY;OTHER;2026-08-15;true;false;grave lovingly powerfully;../fake-data/blob/hipster.txt
2;18795.35;woefully tremendously formal;COMMERCIAL;COMMUNITY_LAND;2026-08-15;true;true;lack;../fake-data/blob/hipster.txt
3;31754.91;zowie goose repentant;INDIVIDUAL;COMMUNITY_LAND;2026-08-15;false;true;scarily trust;../fake-data/blob/hipster.txt
4;6843.71;ouch;OTHER;LEASED;2026-08-14;false;false;er provided;../fake-data/blob/hipster.txt
5;4395.73;imaginary;OTHER;BORROWED;2026-08-14;true;true;essential below possible;../fake-data/blob/hipster.txt
6;3448.86;irritably yippee as;OTHER;COMMUNITY_LAND;2026-08-15;true;false;worst;../fake-data/blob/hipster.txt
7;11238.22;hastily;INDIVIDUAL;BORROWED;2026-08-15;true;true;near near;../fake-data/blob/hipster.txt
8;3329.95;until anti forecast;FAMILY;LEASED;2026-08-15;false;false;SUV mooch once;../fake-data/blob/hipster.txt
9;26307.66;barring frank meanwhile;COMMERCIAL;OTHER;2026-08-15;false;false;culture;../fake-data/blob/hipster.txt
10;25110.13;bah;COMMERCIAL;OTHER;2026-08-15;true;false;terraform an;../fake-data/blob/hipster.txt
