id;name;description;production_mode;ownership_type;production_type;system_type;start_date;total_area;area_unit;water_source;number_of_production_units;production_unit_description;status;annual_revenue;monthly_revenue;employees;certification;notes
1;discourse heighten embody;../fake-data/blob/hipster.txt;INDIVIDUAL;COMMUNITY;ORNAMENTAL;RECIRCULATING;2026-08-14;17941.5;instead modulo;minus huzzah mesh;1495;gee drat duh;ACTIVE;24040.35;9962.93;16930;gnaw;../fake-data/blob/hipster.txt
2;obediently ideal pine;../fake-data/blob/hipster.txt;COOPERATIVE;OTHER;MULTIPURPOSE;TANK;2026-08-15;11145.39;scenario sparse;before;630;store surprisingly materialise;SUSPENDED;17812.98;9168.51;25454;eek;../fake-data/blob/hipster.txt
3;appropriate shrill provided;../fake-data/blob/hipster.txt;FAMILY;SHARED;OTHER;CONCRETE_POND;2026-08-15;1600.11;regularly except drug;potentially shiny;30575;unaccountably fatherly;INACTIVE;2977.68;31257.57;10561;distant aside;../fake-data/blob/hipster.txt
4;decryption yearningly;../fake-data/blob/hipster.txt;FAMILY;LEASED;MULTIPURPOSE;CAGE;2026-08-15;19027.48;noisily;sashay adjourn drat;8844;sick but starch;SUSPENDED;21256.2;20181.69;13849;among;../fake-data/blob/hipster.txt
5;excepting tomb horde;../fake-data/blob/hipster.txt;FAMILY;SHARED;MULTIPURPOSE;EARTHEN_POND;2026-08-14;16354.28;instance concrete;pish or;9726;perfectly ah brr;CLOSED;28888.38;8046.73;11490;finally wallaby;../fake-data/blob/hipster.txt
6;dishonor abandoned;../fake-data/blob/hipster.txt;INDIVIDUAL;LEASED;OTHER;RECIRCULATING;2026-08-15;26767.67;supposing veg;into ethyl;4389;husband over blond;CLOSED;29488.85;8118.95;29678;merrily wavy;../fake-data/blob/hipster.txt
7;bah;../fake-data/blob/hipster.txt;COOPERATIVE;COMMUNITY;FINGERLINGS;POND;2026-08-14;23833.5;restaurant after;fuss;20198;fatally whereas;ACTIVE;26540.91;30839.6;26315;thin pack fooey;../fake-data/blob/hipster.txt
8;swing perfectly;../fake-data/blob/hipster.txt;COOPERATIVE;SHARED;OTHER;RECIRCULATING;2026-08-14;5632.26;gee;incidentally;14425;yowza supposing so;CLOSED;20216.49;19910.41;11769;forenenst round humor;../fake-data/blob/hipster.txt
9;moral supposing;../fake-data/blob/hipster.txt;CONTRACTUAL;SHARED;COMMERCIAL;POND;2026-08-15;16025.19;prickly;bemuse;25809;against furthermore;ACTIVE;17426.94;22372.18;9610;once;../fake-data/blob/hipster.txt
10;gladly;../fake-data/blob/hipster.txt;CONTRACTUAL;OTHER;MULTIPURPOSE;CAGE;2026-08-15;20846.15;husky;profitable carelessly;6888;whenever confused;ACTIVE;28940.04;2650.08;30286;like;../fake-data/blob/hipster.txt
