id;code;name;scientific_name;category;description;freshwater;saltwater;active
1;perfectly;willfully;guide ack trim;wherever;../fake-data/blob/hipster.txt;true;false;false
2;lively;glass masculinize while;labourer;however boastfully unlike;../fake-data/blob/hipster.txt;true;true;false
3;repurpose corrupt;broadly parody despite;insidious;behind;../fake-data/blob/hipster.txt;true;false;true
4;yet and castanet;drat mortally;unless after;through;../fake-data/blob/hipster.txt;true;true;true
5;knowingly what observe;fatal anenst;pfft near;carefully;../fake-data/blob/hipster.txt;false;false;false
6;what psst;round reflecting turret;bookend circa;warm dash;../fake-data/blob/hipster.txt;false;true;true
7;since astride drat;blah gust plus;frenetically making;closely deployment garrote;../fake-data/blob/hipster.txt;true;true;false
8;however attest;yahoo;yahoo;now;../fake-data/blob/hipster.txt;true;true;true
9;troubled;reapply whose tank;frail bourgeoisie;ceramics;../fake-data/blob/hipster.txt;false;true;false
10;deplore past zowie;past far-off;finally considering;outside upon;../fake-data/blob/hipster.txt;false;true;false
