id;code;name;legal_name;registration_number;tax_number;description;status;founded_date;email;phone;website;created_date;last_modified_date
1;innovate underneath sign;gadzooks oof lovingly;though when under;out aha;dishonor eek political;../fake-data/blob/hipster.txt;INACTIVE;2026-08-15;Reinhold.Howe@hotmail.com;491.946.5664 x175;um agreement;2026-08-15T13:22:12;2026-08-15T01:27:14
2;through hm;thump whoever feminize;although;excepting mobility flight;sophisticated drug;../fake-data/blob/hipster.txt;CLOSED;2026-08-15;Edith76@hotmail.com;651.418.2599 x4766;loyalty wavy gosh;2026-08-15T12:41:26;2026-08-15T02:01:18
3;ugh;search;amidst confirm about;concrete;misjudge abandoned strange;../fake-data/blob/hipster.txt;INACTIVE;2026-08-15;Alison_Herzog96@gmail.com;(823) 540-0002 x0459;inspect;2026-08-15T02:46:41;2026-08-15T05:02:23
4;embossing hunt;drat version;frugal critical finger;how;whose;../fake-data/blob/hipster.txt;CLOSED;2026-08-15;Orrin_Haley99@hotmail.com;471.270.3269 x380;once haze firsthand;2026-08-14T21:38:05;2026-08-15T05:17:02
5;bleakly intently;jumbo;snowplow now;oof yieldingly ill-fated;median;../fake-data/blob/hipster.txt;ACTIVE;2026-08-15;Samuel_Mayer77@yahoo.com;991-619-3704;unlike taxicab;2026-08-15T01:32:41;2026-08-15T06:31:48
6;whose;furiously cram;unripe;wearily alb happy;drat beneath;../fake-data/blob/hipster.txt;INACTIVE;2026-08-15;Tyreek.Runolfsson87@hotmail.com;882.561.8760 x202;when sardonic;2026-08-15T11:01:41;2026-08-15T06:24:48
7;classic;fooey factorize;whoa cantaloupe;by cinema altruistic;incidentally earnest;../fake-data/blob/hipster.txt;CLOSED;2026-08-14;Maggie41@gmail.com;237.954.5781 x9559;on than;2026-08-15T09:10:14;2026-08-15T00:22:24
8;uh-huh than fooey;whether chainstay;tuba gosh;yahoo;fen sizzling frankly;../fake-data/blob/hipster.txt;CLOSED;2026-08-15;Bethany.Wisozk@gmail.com;1-574-272-3239 x0176;hence meander splash;2026-08-15T16:25:26;2026-08-14T23:20:37
9;indelible till;as soulful whenever;egg;confound outlying;quaintly self-reliant;../fake-data/blob/hipster.txt;CLOSED;2026-08-14;Chyna_Crona@gmail.com;576-385-0099;smog judicious shore;2026-08-15T02:45:40;2026-08-15T06:53:47
10;requirement fooey amidst;apropos stranger upon;ha;vacantly until;bootleg sonnet;../fake-data/blob/hipster.txt;INACTIVE;2026-08-15;Eliezer_Langosh-Russel64@hotmail.com;(479) 351-6635;gadzooks;2026-08-14T21:10:50;2026-08-15T04:26:55
