id;code;name;description;phone;email;status;opening_date;closing_date
1;drat;per;cheetah that pile;283.393.8754 x3859;Lenny_OConnell@yahoo.com;CLOSED;2026-08-14;2026-08-14
2;happily;inside after scoop;worth;(441) 987-1240 x464;Oceane.Kris@yahoo.com;CLOSED;2026-08-15;2026-08-15
3;officially;forearm pish oof;facilitate beautifully aha;1-456-512-1672 x5418;Trevion89@yahoo.com;CLOSED;2026-08-15;2026-08-15
4;storyboard;defensive;provided manage;571-816-9105 x95437;Reyes.Franecki33@hotmail.com;ACTIVE;2026-08-15;2026-08-14
5;junior knottily utter;yahoo;readily fishery;675.571.9048;Julian.Padberg59@hotmail.com;ACTIVE;2026-08-15;2026-08-14
6;if;scarcely indeed geez;brr headline;940-547-3530 x959;Clarence_Abbott@yahoo.com;SUSPENDED;2026-08-15;2026-08-15
7;save hovercraft vice;voluntarily tidy given;degrease;416-569-5336 x1353;Jess67@hotmail.com;SUSPENDED;2026-08-14;2026-08-15
8;before french;ack;exotic;1-784-291-0536;Audie98@gmail.com;CLOSED;2026-08-15;2026-08-15
9;provided gown crackle;deeply;why;(956) 974-1496 x623;Jaylan_Leffler99@gmail.com;INACTIVE;2026-08-14;2026-08-15
10;swath quiet hearten;vengeful masculinize;gadzooks witty;756-756-4760 x1239;Noe_Pfannerstill@yahoo.com;INACTIVE;2026-08-14;2026-08-15
