id;code;name;description;status
1;competent since;joyfully;../fake-data/blob/hipster.txt;INACTIVE
2;minus;above;../fake-data/blob/hipster.txt;ACTIVE
3;mechanically whoa even;tomb;../fake-data/blob/hipster.txt;ACTIVE
4;brr;versus excited recklessly;../fake-data/blob/hipster.txt;INACTIVE
5;numb pish helpfully;bog gadzooks starboard;../fake-data/blob/hipster.txt;INACTIVE
6;fair request;elver brand;../fake-data/blob/hipster.txt;INACTIVE
7;beneath train corrupt;aha communicate below;../fake-data/blob/hipster.txt;INACTIVE
8;glossy;disbar;../fake-data/blob/hipster.txt;INACTIVE
9;gee tennis;incidentally including offensively;../fake-data/blob/hipster.txt;ACTIVE
10;smart;unbearably;../fake-data/blob/hipster.txt;ACTIVE
