id;code;name;scientific_name;category;description;perennial;active
1;greatly;forgo;hungrily meanwhile and;until and er;../fake-data/blob/hipster.txt;false;false
2;heavy;despite sweetly;husband bonnet apud;embalm big;../fake-data/blob/hipster.txt;true;false
3;outlying under;cleverly torn;finding daintily;yuppify qua;../fake-data/blob/hipster.txt;false;false
4;sternly plagiarise;regarding insert;browse lightly;whose valiantly beyond;../fake-data/blob/hipster.txt;true;true
5;promptly reopen haversack;yippee;rejoin;till;../fake-data/blob/hipster.txt;true;false
6;mmm;pluck stir-fry;provided though focused;now daughter;../fake-data/blob/hipster.txt;true;false
7;cauliflower once hmph;in-joke drat goodwill;parsnip;miscalculate even;../fake-data/blob/hipster.txt;false;true
8;helplessly;overstay broadly;opera amid;and gallery drum;../fake-data/blob/hipster.txt;false;true
9;longingly;deer;mmm;produce because procrastinate;../fake-data/blob/hipster.txt;true;true
10;basic;closely plastic;upon sadly so;switchboard programme;../fake-data/blob/hipster.txt;false;false
