id;code;name;description;origin;maturity_days;yield_potential;disease_resistance;active
1;well-off outdo cleverly;an yesterday;../fake-data/blob/hipster.txt;indeed heighten;28302;21612.38;until mad shakily;false
2;immediately;perfectly;../fake-data/blob/hipster.txt;rubric noxious;26137;15577.98;instead boo especially;true
3;whoa;anenst;../fake-data/blob/hipster.txt;unto chunter;31929;4858.83;executor towards;false
4;indeed pack;account;../fake-data/blob/hipster.txt;an next psst;12477;15392.07;along rebuff;false
5;attest;turret whose wherever;../fake-data/blob/hipster.txt;and obediently;3420;10445.19;colon loose since;false
6;bleakly;without;../fake-data/blob/hipster.txt;ha bide phrase;8507;9749.56;barring knuckle smug;false
7;huddle;um behind mummify;../fake-data/blob/hipster.txt;as perp;6707;31041.94;save inasmuch;false
8;seemingly;official gadzooks where;../fake-data/blob/hipster.txt;unto coop always;17893;2983.72;flash including;false
9;team ah offset;opposite;../fake-data/blob/hipster.txt;for modulo even;1949;22928.15;deck;true
10;remand apud;hence duh courageous;../fake-data/blob/hipster.txt;heartache given planula;21895;183.05;stupendous faraway;false
