id;code;name;description;sector;active
1;indeed;ghost;../fake-data/blob/hipster.txt;footrest accidentally sonata;true
2;huzzah;or bend;../fake-data/blob/hipster.txt;oh boo;true
3;upset handsome tuba;anenst bashfully or;../fake-data/blob/hipster.txt;gratefully;true
4;since ah pfft;instead;../fake-data/blob/hipster.txt;surprise dial;true
5;gadzooks to;worth;../fake-data/blob/hipster.txt;where out;false
6;midst because however;quietly yippee;../fake-data/blob/hipster.txt;oxidize;false
7;until;inside terribly;../fake-data/blob/hipster.txt;second-hand;true
8;since times;shirk as confusion;../fake-data/blob/hipster.txt;weary ah;true
9;aha;jot bleakly;../fake-data/blob/hipster.txt;decode;true
10;viability;meanwhile;../fake-data/blob/hipster.txt;ew haircut;false
