id;name;description;production_mode;ownership_type;production_type;start_date;total_area;area_unit;status;number_of_animals;annual_revenue;monthly_revenue;employees;veterinary_service_available;feed_source;water_source;certification;notes
1;litter;../fake-data/blob/hipster.txt;OTHER;OTHER;WOOL;2026-08-14;153.93;ah astride;CLOSED;28720;25464.77;25314.14;18353;false;and duh ew;adventurously these;shabby why;../fake-data/blob/hipster.txt
2;yippee ick decent;../fake-data/blob/hipster.txt;CONTRACTUAL;SHARED;HONEY;2026-08-15;12918.44;perp;INACTIVE;7466;18154.8;22070.27;4247;false;hungrily;urgently;lack midst;../fake-data/blob/hipster.txt
3;pleasure;../fake-data/blob/hipster.txt;COOPERATIVE;OTHER;MEAT;2026-08-15;31155.16;instead not;INACTIVE;26771;27065.78;26892.14;1492;false;while scotch low;massive hoick;of meanwhile;../fake-data/blob/hipster.txt
4;far;../fake-data/blob/hipster.txt;COMMERCIAL;LEASED;MULTIPURPOSE;2026-08-15;1793.96;lay drag;CLOSED;7442;31393.01;9595.41;24144;true;scrape whale;politely;ew huzzah yuck;../fake-data/blob/hipster.txt
5;crazy median squiggly;../fake-data/blob/hipster.txt;COMMERCIAL;SHARED;MEAT;2026-08-15;17412.05;roasted however;SUSPENDED;27743;3414.08;10131.32;18807;false;publicize;parched;as;../fake-data/blob/hipster.txt
6;perfectly seemingly;../fake-data/blob/hipster.txt;INDIVIDUAL;LEASED;MILK;2026-08-15;2894.21;bonnet;ACTIVE;26022;15405.32;21596.71;21450;true;concerning beautifully;inexperienced optimistically;chairperson fooey;../fake-data/blob/hipster.txt
7;tune-up apprehensive;../fake-data/blob/hipster.txt;OTHER;OWNER;MULTIPURPOSE;2026-08-15;15670.77;yowza whoa ugh;ACTIVE;12581;26036.34;7796.66;6529;true;gray;sugary bouncy yowza;vibraphone devise;../fake-data/blob/hipster.txt
8;slather kiss;../fake-data/blob/hipster.txt;OTHER;OTHER;OTHER;2026-08-15;26642.73;generally including league;INACTIVE;9098;4302.83;19385.09;5447;true;below quizzically rejigger;who off;baritone;../fake-data/blob/hipster.txt
9;sizzling;../fake-data/blob/hipster.txt;FAMILY;COMMUNITY;EGGS;2026-08-14;6248.02;against a;INACTIVE;9953;8501.1;12387.54;1254;false;object warmly;requite;liquid;../fake-data/blob/hipster.txt
10;collectivization and roadway;../fake-data/blob/hipster.txt;INDIVIDUAL;LEASED;SKINS;2026-08-15;23725.16;petticoat finally;CLOSED;18272;7270.45;6781.49;8494;false;unless;after negligible;even ick;../fake-data/blob/hipster.txt
