id;code;name;scientific_name;category;description;active
1;essential;supposing minion;bid;busily uselessly nasalise;../fake-data/blob/hipster.txt;false
2;accidentally democratize if;underneath that but;manner sternly mockingly;cinder muted;../fake-data/blob/hipster.txt;true
3;cricket pure;magnificent gah;pluck french pish;above until;../fake-data/blob/hipster.txt;true
4;splay though programme;quirkily haul mosh;sometimes;hospitable neaten;../fake-data/blob/hipster.txt;true
5;retention;political likewise;finger sympathetically;alongside first in;../fake-data/blob/hipster.txt;false
6;circle;sternly;boohoo factorise;drat unbearably;../fake-data/blob/hipster.txt;false
7;mostly importance;although at gratefully;pace dress;convalesce tomorrow volunteer;../fake-data/blob/hipster.txt;false
8;duh ironclad eek;reclassify utter into;vengeful likewise;that hence loudly;../fake-data/blob/hipster.txt;true
9;tributary questioningly;even;extent;pfft buzzing bemuse;../fake-data/blob/hipster.txt;true
10;furthermore busily;arid psst what;unlike entomb;ostrich adult;../fake-data/blob/hipster.txt;false
