id;code;name;type;address_line_1;address_line_2;postal_code;latitude;longitude;description
1;why utterly exotic;spherical;CITY;drat furthermore linseed;whereas;embed modulo;4044.47;18714.3;concerning
2;restaurant;astride animated intrepid;VILLAGE;around anxiously;yowza;obnoxiously elementary meh;28868.67;20682.08;internal for
3;verbally;boohoo;ADDRESS;circa steep;qua imaginary encode;barring;1624.46;24781.51;off across entwine
4;woot whether;upon;COUNTRY;lest;whether than;boohoo exalt usually;7083.12;28422.03;whereas
5;yearly why;cruelly after;DISTRICT;yahoo prance;incidentally;physically fussy;16291.21;20865.3;numeric fork yawningly
6;onto;yahoo equate;TOWN;oddly conjecture hollow;to shrilly monstrous;grim apropos;24397.15;31577.96;meh
7;sell underneath;ack;VILLAGE;behind;anticodon beyond;bouncy robust inquisitively;7350.15;20223.5;behind
8;abaft;bar writhing vamoose;COUNTRY;loosely;across;pfft dislocate;10905.16;28373.07;painfully boo
9;unto crossly however;enlist quaff upon;QUARTER;institutionalize;reckon chromakey till;ick;30874.07;1748.77;sans
10;dowse messy;scare atop pushy;REGION;which afore eek;decision next yum;until whereas yawn;278.01;24610.78;incidentally psst
