id;member_number;member_type;status;admission_date;exit_date;exit_reason;notes;created_date;last_modified_date
1;for memorable meh;INDIVIDUAL;INACTIVE;2026-08-15;2026-08-15;contravene ascertain dish;../fake-data/blob/hipster.txt;2026-08-14T22:18:59;2026-08-14T23:01:20
2;qua heavily;INDIVIDUAL;DECEASED;2026-08-15;2026-08-15;intensely;../fake-data/blob/hipster.txt;2026-08-15T08:44:38;2026-08-15T05:11:59
3;outrank however;ORGANIZATION;INACTIVE;2026-08-15;2026-08-15;vainly;../fake-data/blob/hipster.txt;2026-08-15T08:31:58;2026-08-15T16:32:43
4;confirm yippee;INDIVIDUAL;PENDING;2026-08-15;2026-08-15;oh ack chilly;../fake-data/blob/hipster.txt;2026-08-15T02:20:38;2026-08-14T20:13:36
5;aboard whenever;ORGANIZATION;INACTIVE;2026-08-14;2026-08-15;meh often;../fake-data/blob/hipster.txt;2026-08-14T23:03:25;2026-08-14T23:06:02
6;offend plain;INDIVIDUAL;PENDING;2026-08-15;2026-08-15;since mechanically;../fake-data/blob/hipster.txt;2026-08-15T12:51:17;2026-08-15T06:18:07
7;rightfully;ORGANIZATION;PENDING;2026-08-15;2026-08-15;naturally;../fake-data/blob/hipster.txt;2026-08-14T21:40:25;2026-08-15T05:40:29
8;suspiciously chairperson wonderfully;INDIVIDUAL;INACTIVE;2026-08-15;2026-08-15;baritone neatly;../fake-data/blob/hipster.txt;2026-08-15T01:47:26;2026-08-14T20:33:27
9;hence;ORGANIZATION;ACTIVE;2026-08-14;2026-08-15;justly unto truly;../fake-data/blob/hipster.txt;2026-08-14T18:03:16;2026-08-14T19:28:28
10;barring jacket;ORGANIZATION;PENDING;2026-08-15;2026-08-15;for what inside;../fake-data/blob/hipster.txt;2026-08-15T07:57:22;2026-08-15T09:16:07
