id;application_number;status;application_date;submitted_at;reviewed_at;approved_at;rejected_at;rejection_reason;review_comments;confirmation;notes
1;geez whoa now;SUBMITTED;2026-08-14;2026-08-15T05:56:53;2026-08-14T19:52:23;2026-08-15T04:05:40;2026-08-15T01:31:52;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.txt
2;ack mid red;UNDER_REVIEW;2026-08-15;2026-08-15T06:48:58;2026-08-15T15:41:14;2026-08-15T13:12:39;2026-08-14T23:01:04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt
3;dish whose anticodon;UNDER_REVIEW;2026-08-15;2026-08-15T09:14:30;2026-08-15T07:34:11;2026-08-14T20:42:49;2026-08-14T22:25:48;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.txt
4;provided;SUBMITTED;2026-08-15;2026-08-15T08:30:11;2026-08-15T04:02:26;2026-08-15T10:13:42;2026-08-14T18:27:33;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt
5;essential greatly;CANCELLED;2026-08-15;2026-08-15T17:14:56;2026-08-15T04:56:11;2026-08-15T03:20:05;2026-08-15T14:06:00;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt
6;inside left;SUBMITTED;2026-08-15;2026-08-15T08:40:55;2026-08-15T03:49:54;2026-08-15T07:23:50;2026-08-15T17:01:58;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.txt
7;solace quick-witted;SUBMITTED;2026-08-15;2026-08-15T08:16:23;2026-08-15T14:48:32;2026-08-14T20:16:43;2026-08-14T18:18:31;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.txt
8;assail because oh;UNDER_REVIEW;2026-08-15;2026-08-15T14:35:51;2026-08-15T06:42:10;2026-08-15T03:15:19;2026-08-15T00:23:51;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt
9;finally precedent meh;REJECTED;2026-08-15;2026-08-15T14:37:13;2026-08-15T00:10:15;2026-08-14T23:39:11;2026-08-15T08:36:59;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.txt
10;gadzooks;UNDER_REVIEW;2026-08-14;2026-08-14T21:16:18;2026-08-14T19:10:22;2026-08-15T08:58:22;2026-08-14T21:14:13;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt
