id;sequence_type;prefix;year;current_value;padding
1;DOCUMENT;footrest angelic pfft;21390;1380;13917
2;DOCUMENT;unaccountably blah;5698;10765;12156
3;MEMBER;boohoo whoever lone;14836;11212;110
4;APPLICATION;nutritious minister draft;21840;23951;2079
5;APPLICATION;oof regarding whereas;17811;19458;7380
6;APPLICATION;polished;3907;3152;31848
7;DOCUMENT;above scratchy;20201;15945;4341
8;APPLICATION;educated nor now;17717;23510;12478
9;MEMBER;usher fundraising;1302;8515;3873
10;MEMBER;accentuate wilderness;17171;8940;2513
