id;code;name;description;resource;action;active
1;pish after;commonly disapprove cooperative;../fake-data/blob/hipster.txt;slowly;yuck thin;false
2;irk;amidst cosset;../fake-data/blob/hipster.txt;jaggedly safely vainly;except taut;false
3;swath ack swordfish;linseed wherever maestro;../fake-data/blob/hipster.txt;too stale joyous;whose before;false
4;avow especially;integer scarcely;../fake-data/blob/hipster.txt;foretell ah;minus daintily brush;true
5;hollow even;although other fluctuate;../fake-data/blob/hipster.txt;metal;hence certainly idle;false
6;consequently huzzah;pfft so;../fake-data/blob/hipster.txt;lock;absolve improbable sardonic;false
7;whenever fooey;oh vivid beneath;../fake-data/blob/hipster.txt;smuggle since;mainstream athwart scheme;false
8;exempt whether giving;flickering so haunting;../fake-data/blob/hipster.txt;aw often elegantly;consequently;false
9;while gosh;mythology although straight;../fake-data/blob/hipster.txt;sunbeam;rosemary;false
10;oh table malfunction;brr against;../fake-data/blob/hipster.txt;neatly;so;false
