id;employment_status;employer_name;job_title;profession;sector;years_of_experience;monthly_income;annual_income;employment_start_date;employer_location;notes
1;than;mostly;Regional Response Representative;till hm yet;near down best;30451;10760.83;9258.67;2026-08-15;enthusiastically pulverize;../fake-data/blob/hipster.txt
2;chiffonier even;inside terraform meh;Central Applications Officer;including healthily paltry;brr;31771;22336.88;24084.13;2026-08-14;duh shy;../fake-data/blob/hipster.txt
3;expense summary without;annex ah tangible;Chief Security Orchestrator;knowledgeable rare anenst;sugary why punctually;23489;21813.33;3829.66;2026-08-14;onto dowse;../fake-data/blob/hipster.txt
4;kissingly puff;while curry;Future Infrastructure Designer;discourse;tune;17878;761.3;30599.45;2026-08-15;oil;../fake-data/blob/hipster.txt
5;aha highly;meanwhile;Chief Configuration Manager;strictly lobster;each;843;676.71;1320.37;2026-08-15;abaft misappropriate underneath;../fake-data/blob/hipster.txt
6;furthermore extra-large;kinase maroon ah;International Marketing Technician;alarmed desk;polyester;27999;13531.17;14712.39;2026-08-15;smuggle;../fake-data/blob/hipster.txt
7;cheap dispense narrow;by;Forward Program Architect;marten meh;crooked;21185;23504.52;18235.54;2026-08-15;pleased garage mmm;../fake-data/blob/hipster.txt
8;whenever;drat deceivingly;Global Brand Executive;outside arcade before;oof per tidy;14736;20942.62;11966.95;2026-08-15;properly tectonics celsius;../fake-data/blob/hipster.txt
9;sheathe while;ectoderm;Dynamic Data Planner;toward triangular;scrabble;22437;1802.83;3774.85;2026-08-15;gah awesome;../fake-data/blob/hipster.txt
10;yuck yahoo an;for;Customer Directives Director;unlike consequently director;westernize maul;25626;18444.75;1161.29;2026-08-15;hovel ack;../fake-data/blob/hipster.txt
