id;marital_status;number_of_children;number_of_dependents;education_level;housing_status;residence_since;disability_status;disability_description;social_category;notes
1;DIVORCED;13780;21008;earth hastily;tectonics;2026-08-15;false;../fake-data/blob/hipster.txt;mortise and;../fake-data/blob/hipster.txt
2;MARRIED;31783;5759;notwithstanding married kiddingly;team vice kissingly;2026-08-15;false;../fake-data/blob/hipster.txt;nor powerfully easy;../fake-data/blob/hipster.txt
3;SINGLE;28552;30594;finally;while amid moisten;2026-08-15;false;../fake-data/blob/hipster.txt;jovially;../fake-data/blob/hipster.txt
4;OTHER;21183;25703;resort convalesce;unethically expostulate lest;2026-08-14;true;../fake-data/blob/hipster.txt;while untimely where;../fake-data/blob/hipster.txt
5;WIDOWED;6859;3558;recovery coop;shrill subsidy until;2026-08-15;false;../fake-data/blob/hipster.txt;unearth diagram definitive;../fake-data/blob/hipster.txt
6;WIDOWED;31132;15055;polished gust;throughout;2026-08-15;false;../fake-data/blob/hipster.txt;although bruised;../fake-data/blob/hipster.txt
7;SEPARATED;25893;1975;considerate;ha;2026-08-15;false;../fake-data/blob/hipster.txt;qua boggle;../fake-data/blob/hipster.txt
8;DIVORCED;23227;26908;until;times deflect tensely;2026-08-15;true;../fake-data/blob/hipster.txt;seriously masculinize delightfully;../fake-data/blob/hipster.txt
9;SEPARATED;16494;2355;aboard;incline oh willfully;2026-08-15;true;../fake-data/blob/hipster.txt;huzzah key;../fake-data/blob/hipster.txt
10;SEPARATED;24220;2240;whenever;with meh;2026-08-15;true;../fake-data/blob/hipster.txt;really institute worth;../fake-data/blob/hipster.txt
